2025-10-20 10:12:29,455 - INFO - Project File Monitor started
2025-10-20 10:13:57,950 - INFO - Project File Monitor started
2025-10-20 11:57:09,039 - INFO - Project File Monitor started
2025-10-20 12:12:01,724 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\21-2717 HWT B.idw.dwf | Content changed & File modified
2025-10-20 12:12:01,725 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\21-2717 HWT B.idw.dwf | Content changed & File modified
2025-10-20 12:12:02,514 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\21-2717 HWT B.pdf | Content changed & File modified
2025-10-20 12:12:02,515 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\21-2717 HWT B.pdf | Content changed & File modified
2025-10-20 12:12:03,035 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\42-3255 SCHEMATIC FLOW.dwg | Content changed & File modified
2025-10-20 12:12:03,041 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\42-3255 SCHEMATIC FLOW.dwg | Content changed & File modified
2025-10-20 12:12:03,931 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\42-3255 SCHEMATIC FLOW.pdf | New file (700.5 KB)
2025-10-20 12:12:03,931 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\42-3255 SCHEMATIC FLOW.pdf | New file (700.5 KB)
2025-10-20 12:12:05,525 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\42-3256 EQUIPMENT LAYOUT.dwg | Content changed & File modified
2025-10-20 12:12:05,525 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\42-3256 EQUIPMENT LAYOUT.dwg | Content changed & File modified
2025-10-20 12:12:06,355 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\42-3256 EQUIPMENT LAYOUT.pdf | New file (573.2 KB)
2025-10-20 12:12:06,359 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\42-3256 EQUIPMENT LAYOUT.pdf | New file (573.2 KB)
2025-10-20 12:12:09,588 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\42-3257 HEATER ASSY.dwg | Content changed & File modified
2025-10-20 12:12:09,589 - INFO - JOB:35371 | UPDATED | 4. Drafting\Systems\42-3257 HEATER ASSY.dwg | Content changed & File modified
2025-10-20 12:12:10,768 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\42-3257 HEATER ASSY.pdf | New file (1.3 MB)
2025-10-20 12:12:10,768 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\42-3257 HEATER ASSY.pdf | New file (1.3 MB)
2025-10-20 12:12:11,248 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\plot.log | New file (0.8 KB)
2025-10-20 12:12:11,248 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\plot.log | New file (0.8 KB)
2025-10-20 12:12:12,171 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\DWF and PDF\42-3256 EQUIPMENT LAYOUT-Model.pdf | New file (508.6 KB)
2025-10-20 12:12:12,172 - INFO - JOB:35371 | NEW | 4. Drafting\Systems\DWF and PDF\42-3256 EQUIPMENT LAYOUT-Model.pdf | New file (508.6 KB)
2025-10-20 12:12:20,909 - INFO - JOB:35371 | DELETED | 4. Drafting\Systems\42-3255 SCHEMATIC FLOW.dwl | File removed from project
2025-10-20 12:12:20,910 - INFO - JOB:35371 | DELETED | 4. Drafting\Systems\42-3257 HEATER ASSY.dwl | File removed from project
2025-10-20 12:12:20,910 - INFO - JOB:35371 | DELETED | 4. Drafting\Systems\42-3255 SCHEMATIC FLOW.dwl2 | File removed from project
2025-10-20 12:12:20,911 - INFO - JOB:35371 | DELETED | 4. Drafting\Systems\42-3257 HEATER ASSY.dwl2 | File removed from project
2025-10-20 12:12:20,911 - INFO - JOB:35371 | DELETED | 4. Drafting\Systems\42-3256 EQUIPMENT LAYOUT.dwl | File removed from project
2025-10-20 12:12:20,911 - INFO - JOB:35371 | DELETED | 3. Engineering\Releases\Heater Release v2.23 - 35371 - Brakebush Brotheres - Hartwell, GA.xlsx | File removed from project
2025-10-20 12:12:20,912 - INFO - JOB:35371 | DELETED | 3. Engineering\Releases\Mechanical Release 2.05 - 35371 - Brakebush Brotheres - Hartwell, GA.xlsx | File removed from project
2025-10-20 12:12:20,914 - INFO - JOB:35371 | DELETED | 4. Drafting\Systems\42-3256 EQUIPMENT LAYOUT.dwl2 | File removed from project
2025-10-20 12:13:44,202 - INFO - JOB:35351 | UPDATED | KOM AND OC FORM.xlsx | Content changed & File modified
2025-10-20 12:13:44,202 - INFO - JOB:35351 | UPDATED | KOM AND OC FORM.xlsx | Content changed & File modified
2025-10-20 12:15:11,478 - INFO - JOB:35332 | NEW | 3. Engineering\Correspondence\EXT_RE_ Kemco Project 35332 - McCurdy's Laundry - Mechanical Approval Prints.msg | New file (2.1 MB)
2025-10-20 12:15:11,478 - INFO - JOB:35332 | NEW | 3. Engineering\Correspondence\EXT_RE_ Kemco Project 35332 - McCurdy's Laundry - Mechanical Approval Prints.msg | New file (2.1 MB)
